[06:39:00] Searching for collection named: 'a - non-SSRN Screening'
[06:39:03]   Found collection key: X5MG34TK
[06:39:03] Fetching items from collection X5MG34TK...
[00:04:43]   [1600/2952] discard=866 maybe=425 keep=309 err=0 rate=0.03/s eta=882min
[00:11:25]   [1610/2952] discard=873 maybe=428 keep=309 err=0 rate=0.03/s eta=876min
[00:18:07]   [1620/2952] discard=877 maybe=432 keep=311 err=0 rate=0.03/s eta=870min
[00:24:50]   [1630/2952] discard=881 maybe=435 keep=314 err=0 rate=0.03/s eta=863min
[00:31:25]   [1640/2952] discard=884 maybe=440 keep=316 err=0 rate=0.03/s eta=857min
[00:37:58]   [1650/2952] discard=888 maybe=444 keep=318 err=0 rate=0.03/s eta=850min
[00:44:22]   [1660/2952] discard=895 maybe=445 keep=320 err=0 rate=0.03/s eta=844min
[00:50:37]   [1670/2952] discard=902 maybe=448 keep=320 err=0 rate=0.03/s eta=837min
[00:57:17]   [1680/2952] discard=907 maybe=452 keep=321 err=0 rate=0.03/s eta=830min
[01:03:42]   [1690/2952] discard=915 maybe=453 keep=322 err=0 rate=0.03/s eta=824min
[01:09:57]   [1700/2952] discard=925 maybe=453 keep=322 err=0 rate=0.03/s eta=817min
[01:16:37]   [1710/2952] discard=933 maybe=455 keep=322 err=0 rate=0.03/s eta=811min
[01:22:52]   [1720/2952] discard=941 maybe=456 keep=323 err=0 rate=0.03/s eta=804min
[01:29:05]   [1730/2952] discard=950 maybe=457 keep=323 err=0 rate=0.03/s eta=797min
[01:35:33]   [1740/2952] discard=957 maybe=459 keep=324 err=0 rate=0.03/s eta=791min
[01:41:52]   [1750/2952] discard=962 maybe=460 keep=328 err=0 rate=0.03/s eta=784min
[01:48:20]   [1760/2952] discard=969 maybe=461 keep=330 err=0 rate=0.03/s eta=777min
[01:55:03]   [1770/2952] discard=973 maybe=466 keep=331 err=0 rate=0.03/s eta=771min
[02:01:36]   [1780/2952] discard=979 maybe=469 keep=332 err=0 rate=0.03/s eta=764min
[02:08:09]   [1790/2952] discard=984 maybe=474 keep=332 err=0 rate=0.03/s eta=758min
